Country,Date-of-Decision,Fine-Amount,Quoted-Art
ITALY,2021-02-25,"2,000","Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR"
NORWAY,2021-03-08,"14,900","Art. 5 (1) a) GPDR, Art. 6 (1) GDPR, The Norwegian DPA (Datatilsynet) imposed a fine of EUR 14,900 on the energy company Dragefossen AS. The latter had installed a webcam on the roof of its office building in the center of Rognan which was in operation 24/7 and recorded the city center. These recordings could be viewed via a live video stream on Youtube and on the controller's homepage. In addition, the recordings could be rewound for up to twelve hours. 



The area covered by the camera surveillance included a public street, the parking lot and entrance of two grocery stores, a pharmacy, a liquor store, the local bank, city hall, and a number of other buildings.



It was not possible to make out facial details or read license plates on cars due to the image quality and distance from the camera. Nevertheless, the image quality was good enough to be able to identify what type of car the data subjects were driving, what type of clothing they were wearing, what hair color they had, and other personal characteristics. This was sufficient for those watching the live broadcast to identify and track co-workers, colleagues, friends, family, or other acquaintances.



The Norwegian DPA concluded that the live broadcast constitutes a breach of Art. 6 (1) GDPR and Art. 5 (1) a) GPDR.



The decision highlights that the illegal camera surveillance involved a significant number of employees and that many were monitored repeatedly, some on a daily basis. Those who were monitored were on their way to and from work, who needed to buy groceries, medications, or alcohol, or who were in the public area for other reasons. These are activities where the data subjects do not expect to be monitored, and even less they expect the monitoring to be broadcast live on the Internet."
THE NETHERLANDS,2020-12-10,"475,000",Art. 33 GDPR
ROMANIA,2021-03-30,"10,000","Art. 32 (1), (2) GDPR, The Romania DPA (ANSPDCP) has fined Telekom Romania Mobile Communications S.A. EUR 10,000 for failing to implement adequate security measures to ensure the security of personal data processing. In particular, the ANSPDCP's investigation revealed that the controllers' failure to implement adequate security measures resulted in the unauthorized disclosure of the data of 99,210 data subjects, including their customer number, gender and telephone number, as well as unauthorized access to the personal data stored in the accounts of 413 customers. On this basis, the ANSPDCP ruled that the controller violated Art. 32 (1) and (2) GDPR."
ITALY,2021-02-25,"6,000","Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR"
ITALY,2021-02-11,"5,000","Art. 5 (1) a), f) GDPR, Art. 9 GDPR, The Italian DPA (Garante) has imposed a fine of EUR 5,000 on the Foundation for Religion and Worship 'Casa sollievo della sofferenza' Opera di San Pio da Pietrelcina. On January 31, 2020, the controller notified the DPA of a personal data breach under Art. 33 GDPR. Documents containing information about the health status of the data subject had been accidentally sent by mail to the wrong addressee. This had happened due to a mix-up: An invoice had previously been sent not to the data subject, but to another person with the same name, whose address had then been used for further correspondence with the data subject."
ITALY,2021-02-25,"20,000",Art. 5 (1) a) GDPR
ITALY,2021-02-11,"350,000","Art. 5 GDPR, Art. 6 GDPR, Art. 28 GDPR, Art. 32 GDPR, The Italian DPA (Garante) fined the city of Rome EUR 350,000 for failing to take adequate technical and organizational measures regarding the data of citizens who had obtained permits to access restricted traffic areas. The permits were verified by scanning QR codes located on badges affixed to windshields. This allowed city staff to verify in real time whether the particular vehicle was allowed to be in the zone and to whom the permit had been issued. However, according to the DPA, not only city staff, but anyone could scan the codes and access the information, as it only required an ordinary QR scanner. The information stored in the system, included, for example, the name of the user or the license plate number of the vehicle. In addition, the DPA found that the city of Rome had used the services of a provider for the hosting and maintenance of databases without a proper agreement as required by Art. 28 GDPR."
ITALY,2021-02-11,"60,000",Art. 32 GDPR
ITALY,2021-02-25,"4,000","Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 9 GDPR"
ITALY,2021-03-25,"4,500,000","Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 21 GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 32 GPDR, Art. 33 (1) GDPR, Art. 34 (1) GDPR"
SPAIN,2021-04-05,"3,000","Art. 32 (1) GDPR, The Spanish DPA (AEPD) has fined Kukimbia S.L. EUR 3,000. The controller is a company that stores, transports and distributes goods. Documents containing personal data about the controller's customers and suppliers were found freely accessible next to a trash can near one of the controller's warehouses. The DPA determined that the controller had violated Art. 32 GDPR."
SPAIN,2021-04-05,"3,000",Art. 32 (1) GDPR
SPAIN,2021-04-05,"4,000","Art. 13 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 4,000 on Stockhunters S.L.. The controller was not able to answer the data subject's requests regarding the use of his personal data. In addition, the data protection policy of the controller's website did not comply with the provisions of Art. 13 GDPR. The data subject was therefore unsure of how his personal data was being used."
SPAIN,2021-04-06,"2,400",Art. 21 GDPR
ITALY,2021-02-11,"45,000","Art. 5 (1) a), f) GDPR, Art. 9 GDPR, Art. 32 GDPR"
GREECE,2021-03-22,"2,000","Art. 15 GDPR, Art. 11 Law 3471/2006"
NORWAY,2021-03-15,"100,000","Art. 5 GDPR, Art. 6 GDPR, Art. 32 (1) b) GDPR, Art. 24 GDPR"
NORWAY,2021-04-09,"3,400","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, The Norwegian DPA (Datatilsynet) has imposed a fine of EUR 3,400 on Miljø- og Kvalitetsledelse AS. At one of the carwashes operated by the controller, incidents of vandalism had occurred at the payment terminal. The controller thereupon sent footage of the incident from a surveillance camera to the employer of the alleged vandal. The Norwegian DPA concluded that the sharing of the video footage had taken place without a legal basis and the controller had thus violated Art. 6 (1) GDPR and Art. 5 (1) a) GDPR. Furthermore, the DPA emphasizes that the disclosure of the recordings was not necessary to clarify the incident, as the recordings had already been provided to the police."
ITALY,2021-02-25,"6,000","Art. 5 GDPR, Art. 9 GDPR, The Italian DPA (Garante) has imposed a fine of EUR 6,000 on Azienda Ospedaliera Universitaria Careggi for a breach of Art. 5 GDPR and Art. 9 GDPR. Azienda Ospedaliera Universitaria Careggi had notified the DPA of a data breach under Art. 33 GDPR regarding the transfer of health data to the wrong person. Medical documents of a patient had been sent by mail both to the affected patient and to another patient. The controller states that the incident occurred due to an error in the printing process. The ward where the affected patient was treated was only equipped with two printers, and one doctor had unknowingly also taken a colleague's print job (the affected patient's documents) when taking out his print job (the documents of the wrong recipient)."
SPAIN,2021-04-08,"60,000",Art. 17 GDPR
CZECH REPUBLIC,,2020,"Art. 5 GDPR, Art. 6 GDPR"
CZECH REPUBLIC,,2020,"Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 7 (1) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 15 GDPR, Art. 16 GDPR, Art. 17 GDPR, Art. 18 GDPR, Art. 19 GDPR, Art. 20 GDPR, Art. 21 GDPR"
ROMANIA,2021-04-15,"5,000","Art. 5 (1) b), c) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR, Art. 7 GDPR"
GREECE,2020-04-07,"2,000","Art. 5 (1) c) GDPR, Art. 6 (1) f) GDPR"
SPAIN,2021-04-15,"3,000","Art. 5 (1) c) GDPR, Art. 13 GDPR"
SPAIN,2021-04-13,"90,000",Art. 6 (1) GDPR
ROMANIA,2021-04-19,"1,500","Art. 29 GDPR, Art. 32 (2), (4) GDPR"
SPAIN,2021-04-19,"1,500",Art. 5 (1) c) GDPR
CZECH REPUBLIC,,2020,"Art. 24 GDPR, Art. 32 (1) GDPR"
CZECH REPUBLIC,2020-05-26,,"Art. 5 (1) a) GDPR, Art. 6 GDPR"
CZECH REPUBLIC,,2020,"Art. 12 (2) GDPR, Art. 15 (1) GDPR"
SPAIN,2021-04-20,"8,000",Art. 6 (1) GDPR
NORWAY,2021-03-21,"19,900","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR"
SPAIN,2021-04-22,"1,500",Art. 5 (1) c) GDPR
SPAIN,2021-04-22,"4,000",Art. 6 GDPR
GREECE,2021-04-16,"2,000","Art. 15 GDPR, Art. 11 Law 3471/2006"
ITALY,2021-03-11,"3,000","Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR"
CZECH REPUBLIC,,2020,"Art. 6 (1) GDPR, Art. 13 GDPR"
CZECH REPUBLIC,,2020,"Art. 5 (1) a) GDPR, Art. 12 (1) GDPR, Art. 28 (2), (3) GDPR"
CZECH REPUBLIC,,2020,"Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 (4) LOPDGDD"
CZECH REPUBLIC,,2020,Art. 5 (1) c) GDPR
CZECH REPUBLIC,,2020,Art. 12 (1) GDPR
CZECH REPUBLIC,,2020,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR, Art. 14 (3) GDPR"
CZECH REPUBLIC,,2020,Art. 5 (1) a) GDPR
CZECH REPUBLIC,,2020,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 12 (2), (3) GDPR, Art. 15 GDPR, Art. 16 GDPR, Art. 17 GDPR, Art. 18 GDPR, Art. 19 GDPR, Art. 20 GDPR, Art. 21 GDPR, Art. 22 GDPR"
SPAIN,2021-04-23,"1,000,000","Art. 5 (1) a), b), c), d) GDPR, Art. 6 (1) GDPR, Art. 14 GDPR"
SPAIN,2021-04-27,"3,000","Art. 17 (1) GDPR, Art. 21 LSSI, The Spanish DPA (AEPD) has imposed a fine of EUR 5,000 on Pagamastarde S.L.. A data subject had filed a complaint with the AEPD against the controller due to the fact that the controller continued to send him SMS advertisements, despite the fact that he had requested the deletion of his data and the controller had confirmed the deletion. The controller stated that the data subject's request had not been fulfilled due to a human error. The fine is composed proportionately of EUR 3,000 for a violation of Art. 17 (1) GDPR and EUR 2,000 for a violation of Art. 21 LSSI. The original fine of EUR 5,000 was reduced to EUR 3,000 due to immediate payment and admission of guilt."
SPAIN,2021-04-27,"15,000","Art. 17 GDPR, Art. 21 LSSI, The Spanish DPA (AEPD) has imposed a fine of EUR 15,000 on Anytime Fitness Iberia S.L.. A data subject had filed a complaint with the AEPD against the controller due to the fact that the controller continued to send him SMS advertisements, despite the fact that he had requested the deletion of his data and the controller had confirmed the deletion. The fine is composed proportionally of EUR 10,000 for a breach of Art. 17 GDPR and EUR 5,000 for a breach of Art. 21 LSSI."
THE NETHERLANDS,2021-03-11,"600,000","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, The Dutch DPA (AP) has fined the municipality of Enschede EUR 600,000. In 2017, the municipality decided to install special measurement boxes to measure crowds in the city center of Enschede. Sensors in the measurement boxes detected the wifi signals from the cell phones of passers-by and registered them with a code. Based on the registered codes, it was possible to calculate how busy the city center was. However, this also made it possible to track which measurement box a particular cell phone passed by, making it possible to track the movement of passers-by. The municipality states that it was never its intention to track passers-by. However, the DPA finds that the wifi tracking (even if it was unintentional) constitutes a serious breach of the GDPR. The DPA concludes that the municipality tracked its passers-by without an effective legal basis and thus violated Art. 5 (1) a) GDPR and Art. 6 (1) GDPR."
ITALY,2021-03-11,"15,000","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR"
ITALY,2021-03-11,"80,000","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 21 (2), (3) GDPR, Art. 12 (3) GDPR, Art. 25 (1) GDPR"
ITALY,2021-03-25,"30,000","Art. 6 (1) GDPR, Art. 7 (1) GDPR, Art. 30 GDPR, Art. 31 GDPR"
ITALY,2021-03-25,"20,000","Art. 12 (3), (4) GDPR, The Italian DPA (Garante) has imposed a fine of EUR 20,000 on GEDI News Network Spa. A data subject filed a complaint with the Italian DPA against the controller regarding an article published by the latter in which he was referred to. In this context, the data subject exercised his right under Art. 17 GDPR and requested the deletion of the article, considering it no longer relevant. However, the controller did not respond to the data subject's request in a timely manner."
BELGIUM,2021-04-26,"100,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
FINLAND,2021-04-21,"75,000","Art. 5 (1) c) GDPR, Art. 12 (3), (4), (6) GDPR, Art. 14 (2) a) GDPR, Art. 14 (3) GDPR, Art. 15 GDPR, Art. 17 (1) a) GDPR, Art. 25 (2) GDPR"
HUNGARY,2021-03-24,"27,700","Art. 32 (1) a), b) GDPR, Art. 32 (2) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR"
NORWAY,2021-05-05,,"Art. 5 (1), (2) GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, On May 5, 2021, the Norwegian DPA (Datatilsynet) announced that it intents to fine Disqus Inc. EUR 2, 500, 000 for violations of Art. 5 (1), (2) GDPR, Art. 6 GDPR, Art. 12 GDPR and Art. 13 GDPR.  It is alleged that Disqus unlawfully tracked visitors of Norwegian websites which used the Disqus plugin. Their data was then passed on to third-party advertisers."
ROMANIA,2021-05-07,"2,000",Art. 32 GDPR
ICELAND,2021-04-29,"23,100","Art. 32 (1) b), d) GDPR, The Icelandic DPA (Persónuvernd) has imposed a fine of EUR 23,100 on InfoMentor ehf. Previously, the controller had reported a data breach according to Art. 33 GDPR. The incident concerned the company's online system, which is mainly used by schools and other institutions for communication and information purposes. In the course of its investigations, the DPA determined that inadequate technical and organizational security measures on the part of the controller led to the breach. Due to a security leak that resulted in the six-digit system number of each user being visible in the URL address of a specific page within the mentor system, unauthorized persons gained access to the personal data of 424 children."
SPAIN,2021-05-04,"1,500,000","Art. 13 GDPR, Art. 25 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 1,500,000 on EDP Comercializadora, S.A.U.. The decision follows, in particular, several complaints received for processing personal data without consent. As the DPA found, the controller had failed to inform data subjects in accordance with Art. 13 GDPR when collecting their data. This involved data subjects not being informed of their rights under Art. 15 GDPR - Art. 22 GDPR, and the contact details of the controller (e.g. its address) being incomplete.  Besides, the company's business practice allowed it to conclude contracts with customer representatives instead of with the customers directly. In these cases, however, the data controller did not check whether there was actually an authorization to represent the data subjects. The DPA finds that the controller failed to implement a procedure to verify the authorization of the alleged representatives.The fine is composed proportionately of EUR 1,000,000 for a breach of Art. 13 GDPR and EUR 500,000 for a breach of Art. 25 GDPR."
SPAIN,2021-05-04,"1,500,000","Art. 13 GDPR, Art. 25 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 1,500,000 on EDP Energía, S.A.U.. The decision follows, in particular, several complaints received for processing personal data without consent. As the DPA found, the controller had failed to inform data subjects in accordance with Art. 13 GDPR when collecting their data. This involved data subjects not being informed of their rights under Art. 15 GDPR - Art. 22 GDPR, and the contact details of the controller (e.g. its address) being incomplete.  Besides, the company's business practice allowed it to conclude contracts with customer representatives instead of with the customers directly. In these cases, however, the data controller did not check whether there was actually an authorization to represent the data subjects. The DPA finds that the controller failed to implement a procedure to verify the authorization of the alleged representatives.The fine is composed proportionately of EUR 1,000,000 for a breach of Art. 13 GDPR and EUR 500,000 for a breach of Art. 25 GDPR."
THE NETHERLANDS,2020-06-16,"7,500","Art. 33 GDPR, The Dutch DPA (AP) fined the Overijssel local branch of the PVV party EUR 7,500 for failing to notify the AP of a personal data breach, in violation of Art. 33 GDPR. An email regarding the convening of a meeting had been sent via an open distribution list due to a human error. Since the total of 101 recipients were addressed as 'Friends of the PVV' in the email, the political beliefs of the data subjects were thus disclosed to all addressees."
SPAIN,2021-05-12,"3,000",Art. 17 GDPR
ITALY,2021-03-25,"4,000","Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR"
ROMANIA,2021-05-14,200,"Art. 5 (1) a), b), (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1), (2), (3) GDPR, Art. 32 (2) GDPR"
ROMANIA,2021-05-13,"2,000","Art. 6 GDPR, Art. 21 GDPR"
SPAIN,2021-05-14,"30,000",Art. 6 GDPR
THE NETHERLANDS,2020-12-20,"525,000","Art. 27 GDPR, The Dutch DPA (AP) has imposed a fine of EUR 525,000 on Locatefamily.com. Locatefamily.com is a platform where people can search for the contact information of family members they have lost contact with or other people they would like to get in touch with. The data subjects complained that their contact information (name, address, phone number) was published on the website without their knowledge. The data subjects were not able to request the deletion of their data published on the site easily, because Locatefamily.com did not have any representation in the European Union. Organizations offering goods or services in the EU must have a representative to whom EU citizens can turn to obtain information or exercise their data protection rights. Accordingly, the Dutch data protection authority found a breach of Art. 27 GDPR."
HUNGARY,2021-03-25,"1,425","Art. 5 (1) a), b), c) GDPR, Art. 6 GDPR, Art. 13 (1), (2) GDPR"
GREECE,2021-05-12,"5,000","Art. 5 (1) a), b) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 17 GDPR"
POLAND,2021-04-22,"245,000","Art. 24 (1) GDPR, Art. 32 (1), (2) GDPR, Art. 34 (1) GDPR"
ITALY,2021-04-15,"2,000","Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR"
ITALY,2021-04-15,"5,000","Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR"
ROMANIA,2021-05-19,500,"Art. 58 (1) a), e) GDPR"
ROMANIA,2021-05-19,"2,000","Art. 5 (1) a), d), (2) GDPR, Art. 6 GDPR"
ITALY,2021-04-15,"40,000","Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR"
THE NETHERLANDS,2020-03-24,"15,000","Art. 9 GDPR, Art. 32 GDPR"
NORWAY,2021-05-20,"39,000","Art. 5 GDPR, Art. 6 GDPR"
IRELAND,2021-03-23,"90,000","Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR"
SPAIN,2021-05-21,"3,000",Art. 6 GDPR
SPAIN,2021-05-25,900,"Art. 13 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 1,500 on the managing director of a company. A data subject filed a complaint with the AEPD against the controller with whom he had entered into a contract. The fine is based on the fact that the controller had not properly informed the data subject about the processing of his data when collecting it. The AEPD considers this to be a violation of Art. 13 GDPR. The original fine of EUR 1,500 was reduced to EUR 900 due to immediate payment and admission of guilt."
HUNGARY,2021-04-27,"1,400","Art. 5 (1), (2) GDPR, Art. 6 GDPR, Art. 13 GDPR, The Hungarian DPA (NAIH) has imposed a fine of EUR 1,400 on a company. In the course of his professional activities, a data subject had made a telephone call to the controller on September 23, 2019. The controller had recorded the conversation without informing the data subject or obtaining his consent and then provided it to the company where the data subject was employed. The employer of the data subject subsequently terminated his employment because the recorded telephone call apparently did not meet the company's service and professional standards. The DPA finds that the controller not only processed the data subject's data without a legal basis, but also breached its accountability obligation by failing to demonstrate the lawfulness of the processing. In addition, the controller violated its duty to provide information under Art. 13 GDPR."
HUNGARY,2021-04-27,570,"Art. 5 (1) a), (2) GDPR, Art. 6 GDPR, Art. 13 GDPR, The Hungarian DPA (NAIH) has imposed a fine of EUR 570 on a company. In the course of his professional activities, a data subject had made a telephone call to a company on September 23, 2019. The company had recorded the conversation without informing the data subject or obtaining his consent, and subsequently made it available to the company where the data subject was employed (the controller). The controller then terminated the employment relationship because the recorded telephone conversation apparently did not meet the controller's service and professional standards. The DPA finds that the controller not only processed the data subject's data without a legal basis, but also breached its accountability obligations by failing to demonstrate the lawfulness of the processing. In addition, the controller violated its obligation to provide information pursuant to Art. 13 GDPR."
SPAIN,2021-05-25,"100,000",Art. 28 GDPR
SPAIN,2021-05-25,"4,000",Art. 5 (1) c) GDPR
SPAIN,2021-05-25,"6,000",Art. 5 (1) f) GDPR
SPAIN,2021-05-26,"3,000","Art. 58 (1) GDPR, Failure to provide information to the Spanish DPA (AEPD) within the required timeframe in violation of Art. 58 GDPR. The original fine of EUR 5,000 was reduced by 20% EUR 3,000 due to immediate payment and admission of guilt."
ITALY,2021-03-25,"7,000","Art. 12 (3) GDPR, Art. 15 GDPR"
GREECE,2021-05-17,"10,000","Art. 6 (1) c) GDPR, Art. 12 (3), (4) GDPR, Art. 17 (1) d) GDPR, The Hellenic DPA has fined the Municipal Organization for Pre-School Education and Social Solidarity (DOPAKA) of the municipality of Tavros Moschato EUR 10,000. The controller had published documents containing personal data of the data subject without legal basis. The documents contained, besides his name, information about his profession, his place of work and an evaluation of his behavior. The controller also failed to respond to a subsequent deletion request from the data subject.The fine is composed proportionately of EUR 7,000 for a violation of Art. 6 (1) c) GDPR and EUR 3,000 for a violation of Art. 12 (3), (4) GDPR and Art. 17 (1) d) GDPR."
NORWAY,2021-05-18,"95,500","Art. 5 (1) GDPR, Art. 6 (1) GDPR"
SPAIN,2021-05-27,"2,000",Art. 5 (1) c) GDPR
SPAIN,2021-05-21,"3,000","Art. 5 (1) c) GDPR, Art. 12 GDPR"
GREECE,2021-05-12,"5,000","Art. 17 GDPR, Art. 21 GDPR, Art. 25 GDPR"
ITALY,2021-04-21,"15,000","Art. 5 (1) a), f) GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 32 GDPR, The Italian DPA (Garante) has imposed a fine of EUR 15,000 on Fondazione Policlinico Tor Vergata di Roma. In February 2020, a data subject filed a complaint with Garante alleging a breach of data protection laws in relation to the booking services for medical specialists offered by the controller. In order to book a relevant appointment on the booking portal, visitors had to fill out an online form in which various personal data was requested. As the DPA found, the controller had not implemented adequate technical and organizational measures to ensure the protection of data processing. In addition, the controller did not comply with its information obligations pursuant to Art. 13 GDPR, as it had not properly informed the data subjects about the processing of their personal data at the time of the data collection."
SPAIN,2021-05-21,"45,000",Art. 6 GDPR
SPAIN,2021-06-02,"4,000",Art. 6 GDPR
ITALY,2021-04-15,"12,000","Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 15 GDPR"
SPAIN,2021-06-04,"6,000",Art. 6 (1) b) GDPR
SPAIN,2021-06-07,"20,000",Art. 6 (1) GDPR
SPAIN,2021-06-07,"19,600","Art. 5 (1) c) GDPR, Art. 12 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 26,000 on Radiotelevisión del principado de Asturias. The fine consists of EUR 20,000 due to a violation of Art. 5 (1) c) GDPR and EUR 6,000 due to a violation of Art. 12 GDPR. The fine was based on the fact that the controller installed a video surveillance system totaling 14 video cameras and monitoring the business premises. The controller states that the cameras were installed for the purpose of security of the premises. However, the cameras captured the employees' offices in a way that was not necessary for this purpose. For example, one camera also captured a considerable part of the employees' recreation room. The DPA considered this to be a violation of the principle of data minimization. In addition, the controller had not properly informed the data subjects about the processing of the data by the video surveillance and thus violated its duty to inform. The fine was reduced to EUR 19,600 due to timely payment and admission of guilt."
LUXEMBOURG,2021-05-12,"1,900","Art. 5 (1) c), e) GDPR, The DPA from Luxembourg (CNPD) has imposed a fine of EUR 1,900 on a company. The controller had installed a video surveillance system to protect the company's assets and prevent entry by unauthorized persons. However, the cameras also excessively captured parts of the public space. The DPA finds that the controller thus violated the principle of data minimization under Article 5 (1) c) GDPR. In addition, the DPA finds that the controller stored the recordings longer than legally permitted and thus violated Art. 5 (1) e) GDPR."
LUXEMBOURG,2021-05-12,"2,400","Art. 5 (1) c) GDPR, The DPA from Luxembourg (CNPD) has imposed a fine of EUR 2,400 on a company.  The controller had installed a video surveillance system to protect the company's assets and prevent entry by unauthorized persons. However, the cameras also excessively captured parts of the canteen terrace which serves as a recreation area for employees. The DPA finds that recording employees during their break is not necessary to ensure the purposes related to the video surveillance and was therefore disproportionate. The DPA finds that the controller has thus violated the principle of data minimization under Article 5 (1) c) GDPR."
LUXEMBOURG,2021-05-12,"2,600","Art. 5 (1) c) GDPR, Art. 13 GDPR, The DPA from Luxembourg (CNPD) has imposed a fine of EUR 2,600 on a company. The controller had installed a video surveillance system to protect the company's assets and prevent entry by unauthorized persons.However, the cameras also excessively captured parts of the canteen which serves as a break location for employees.  The DPA finds that recording employees during their break is not necessary to ensure the purposes related to the video surveillance and was therefore disproportionate. The DPA finds that the controller has thus violated the principle of data minimization under Article 5 (1) c) GDPR. In addition, the controller had not properly informed the data subjects about the processing of the data by the video surveillance and thus violated its duty to inform."
LUXEMBOURG,2021-05-12,"1,000","Art. 5 (1) c) GDPR, Art. 13 GDPR, The DPA from Luxembourg (CNPD) has imposed a fine of EUR 1,000 on a company. The controller had installed a video surveillance system with the purposes of the protection of property, securing access to private and risky places, as well as the safety of users and the prevention of accidents. However, the cameras also excessively captured parts of the public space. The DPA finds that the controller thus violated the principle of data minimization under Article 5 (1) c) GDPR. In addition, the controller had not properly informed the data subjects about the processing of the data by the video surveillance and thus violated its duty to inform."
SWEDEN,2021-06-07,"25,000","Art. 5 (1) a) GDPR, Art. 13 GDPR"
SWEDEN,2021-06-07,"25,000","Art. 5 (1) a) GDPR, Art. 13 GDPR"
SWEDEN,2021-06-07,"50,000","Art. 5 (1) a) GDPR, Art. 13 GDPR, Art. 14 GDPR"
SWEDEN,2021-06-07,"1,200,000","Art. 5 (1) a), f) GDPR, Art. 6 GDPR, Art. 9 (1) GDPR, Art. 13 GDPR, Art. 32 GDPR, The Swedish DPA has imposed a fine of EUR 1,200,000 on MedHelp AB. The fine is related to an investigation against three companies and three Swedish regions. 

In all 21 regions of Sweden, a telephone hotline that offers advice on various health-related topics can be reached by dialing 1177. Each region operates its own health advice service, either internally or through contracted subcontractors, but together they form a national network.
In 2019, the media reported that recorded calls to the 1177 helpline were available on a web server without password protection or other security measures. 
All calls to the 1177 number initially went to the company Inera, which managed and developed the shared systems. Calls to the number 1177 from people living in the Stockholm, Sörmland and Värmland regions were put through by Inera to Medhelp AB, which took the calls. Medhelp had in turn contracted the Thai company Medicall Co Ltd. to take calls on weekends and at night. Both Medhelp and Medicall had a contract with the technology company Voice Integrate Nordic AB for, among other things, call recordings. A data breach had then occurred in which recordings of calls to the number 1177 were available on the Internet on a storage server belonging to Voice Integrate. 
The incident resulted from the misconfiguration of a network-attached storage device that was publicly accessible over the Internet and did not use encrypted communications. A large number of calls were accessed due to the vulnerability. 

The Swedish DPA found that MedHelp had failed to take appropriate technical and organizational measures to ensure an adequate level of security to protect personal data so that unauthorized persons could not access it. Similarly, MedHelp had failed to properly inform callers about the processing of their personal data in accordance with Art. 13 GDPR. 

In addition, the DPA finds the outsourcing of the processing of personal data to Medicall to be a breach of the legality principle set out in the GDPR. This is because Medicall is not covered by Swedish health and medical legislation and is therefore not subject to the legally regulated confidentiality obligation that exists in the Swedish healthcare sector."
SWEDEN,2021-06-07,"64,500",Art. 32 GDPR
ROMANIA,2021-06-09,"2,000","Art. 31 GDPR, Art. 58 GDPR"
POLAND,2021-04-27,"5,050","Art. 31 GDPR, Art. 58 (1) e) GDPR"
SWEDEN,2021-06-09,"34,800","Art. 5 (1) a), c) GDPR, Art. 32 (1), (4) GDPR, The Swedish DPA has imposed a fine of EUR 34,800 on the directorate of the Östra Skaraborg Rescue Service. The DPA had received information that several fire stations in Östra Skaraborg operated surveillance cameras that filmed areas where firefighters were changing during an emergency, whereupon it initiated a review of the camera surveillance. The video surveillance was taking place around the clock, although the controller itself stated that video surveillance was only required in case of emergency alarms.

The DPA concludes that the 24/7 monitoring was too far-reaching, but notes that the controller had weighty reasons for the camera surveillance. However, the camera surveillance should be limited to emergencie cases. The fine is composed proportionally of EUR 29,800 for a violation of Art. 5 (1) a), c) GDPR and EUR 5,000 for a violation of Art. 32 (1), (4) GDPR."
NORWAY,2021-05-28,"39,700","Art. 24 GDPR, Art. 32 (1), (2) GDPR, The Norwegian DPA (Datatilsynet) has imposed a fine of EUR 39,700 on BRAbank ASA. The controller had reported a data breach to the DPA on September 6, 2019. On the controller's website, some customers were able to view other customers' data on the 'My Page' section. These included credit terms and address information of other customers. The section had been activated shortly before for 500 selected customers and was intended, among other things, to provide an overview of loans taken out with the controller. 
Based on investigations into the case, the DPA found that the controller had not complied with the GDPR's requirements for risk assessment and appropriate technical measures in connection with the launch of the customer portal. According to the DPA's assessment, the personal data security breach could have been prevented if the controller had conducted a risk assessment and review as required by law."
LIECHTENSTEIN,,2020,
THE NETHERLANDS,2021-02-04,"12,000",Art. 32 (1) GDPR
LUXEMBOURG,2021-05-31,"18,000","Art. 38 (1), (2) GDPR, Art. 39 (1) a) GDPR"
